f_Hz,mag,mag_dB,phase_deg
61.5598650148351,0.000952280644096313,-60.4247008596035,-0.0806198827612622
63.4856521630522,0.000952280614144367,-60.4247011327995,-0.0831419266353717
65.4716840200474,0.000952280582289129,-60.4247014233557,-0.0857428679288244
67.519845230725,0.000952280548409653,-60.4247017323754,-0.0884251747940956
69.6320793976388,0.00095228051237731,-60.4247020610316,-0.0911913925944801
71.8103909253735,0.000952280474055297,-60.4247024105723,-0.094044146319414
74.0568469226243,0.000952280433298116,-60.4247027823245,-0.0969861430753479
76.3735791637802,0.000952280389951025,-60.4247031776997,-0.100020174654535
78.7627861118706,0.00095228034384945,-60.424703598199,-0.103149120184169
81.2267350047971,0.000952280294818357,-60.4247040454188,-0.106375948858386
83.7677640068292,0.000952280242671591,-60.4247045210572,-0.109703722755724
86.3882844274045,0.000952280187211167,-60.42470502692,-0.113135599744704
89.0907830093414,0.00095228012822652,-60.4247055649278,-0.116674836480298
91.8778242886333,0.000952280065493704,-60.4247061371232,-0.120324791494122
94.7520530280654,0.000952279998774543,-60.4247067456787,-0.124088928381284
97.7161967269618,0.000952279927815727,-60.4247073929049,-0.127970819086907
100.773068209446,0.000952279852347846,-60.4247080812589,-0.13197414729545
103.925568293671,0.000952279772084376,-60.4247088133542,-0.136102711926035
107.17668854455,0.000952279686720582,-60.4247095919705,-0.140360430737096
110.529514112602,0.000952279595932365,-60.4247104200638,-0.14475134404377
113.987226661605,0.000952279499375034,-60.4247113007783,-0.149279618551554
117.553107387837,0.000952279396681994,-60.4247122374575,-0.153949551309851
121.230540133765,0.000952279287463353,-60.4247132336579,-0.158765573789183
125.023014599146,0.000952279171304445,-60.4247142931617,-0.163732256085893
128.934129652572,0.000952279047764255,-60.4247154199915,-0.168854311258361
132.967596746621,0.000952278916373745,-60.4247166184254,-0.174136599798824
137.12724343984,0.00095227877663407,-60.4247178930137,-0.179584134245033
141.417017028902,0.000952278628014689,-60.4247192485953,-0.185202083936141
145.840988294399,0.000952278469951346,-60.4247206903171,-0.190995779917298
150.403355363803,0.000952278301843932,-60.4247222236528,-0.196970719997623
155.108447695284,0.000952278123054205,-60.424723854424,-0.203132573966342
159.960730186149,0.000952277932903365,-60.4247255888221,-0.209487188972014
164.964807409802,0.000952277730669483,-60.4247274334321,-0.216040595069972
170.125427985259,0.00095227751558475,-60.4247293952573,-0.222799010943198
175.447489083346,0.000952277286832575,-60.4247314817461,-0.229768849802084
180.936041073872,0.000952277043544473,-60.4247337008202,-0.236956725468631
186.596292318175,0.000952276784796775,-60.4247360609047,-0.244369458650877
192.433614111598,0.00095227650960712,-60.4247385709599,-0.252014083413468
198.45354578058,0.000952276216930724,-60.4247412405157,-0.259897853850514
204.661799939199,0.000952275905656417,-60.4247440797074,-0.268028250967029
211.064267910155,0.00095227557460242,-60.4247470993144,-0.276412989775482
217.667025315346,0.000952275222511865,-60.424750310801,-0.285060026614153
224.476337841322,0.000952274848048015,-60.4247537263601,-0.29397756669423
231.498667185116,0.000952274449789199,-60.4247573589593,-0.303174071882773
238.740677186065,0.000952274026223409,-60.4247612223902,-0.312658268728909
246.209240149463,0.000952273575742562,-60.4247653313207,-0.322439156740834
253.911443368035,0.000952273096636397,-60.424769701351,-0.332526016921451
261.854595847423,0.00095227258708598,-60.4247743490722,-0.342928420570705
270.046235242068,0.000952272045156801,-60.4247792921299,-0.353656238362913
278.494135008064,0.000952271468791433,-60.424784549291,-0.364719649707679
287.206311779783,0.000952270855801718,-60.4247901405146,-0.376129152403207
296.191032977255,0.000952270203860464,-60.4247960870283,-0.38789557259113
305.456824651543,0.000952269510492609,-60.4248024114085,-0.400030075022239
315.012479575533,0.000952268773065832,-60.4248091376662,-0.412544173642779
324.867065587837,0.000952267988780555,-60.4248162913379,-0.425449742511301
335.029934197723,0.00095226715465932,-60.4248238995829,-0.438759027056331
345.510729459222,0.000952266267535491,-60.4248319912862,-0.452484655685474
356.319397122858,0.00095226532404123,-60.4248405971681,-0.466639651756848
367.466194073669,0.000952264320594718,-60.4248497499011,-0.481237445924131
378.961698064472,0.00095226325338656,-60.4248594842336,-0.496291888866791
390.816817753626,0.00095226211836533,-60.4248698371218,-0.511817264417484
403.042803056805,0.000952260911222193,-60.4248808478703,-0.527828303098915
415.651255822599,0.000952259627374556,-60.4248925582811,-0.544340196082861
428.654140842092,0.000952258261948673,-60.424905012812,-0.56136860958445
442.063797202853,0.000952256809761158,-60.4249182587461,-0.57892969970515
455.892949998106,0.000952255265299309,-60.4249323463702,-0.597040127738374
470.154722402213,0.000952253622700196,-60.4249473291668,-0.615717075951991
484.862648123908,0.000952251875728409,-60.4249632640162,-0.634978263862485
500.030684249109,0.000952250017752409,-60.4249802114128,-0.654841965015935
515.673224485496,0.000952248041719359,-60.4249982356948,-0.67532702429147
531.80511282142,0.000952245940128372,-60.4250174052879,-0.696452875743264
